post_id,create_time,is_top,post_content,comments,text
7455063785066237215,1735767313,-1,Dollar tree beauty finds #dollartreefinds #dollartree #dollartreehaul #dollartreebeauty #makeupfinds #beautyfinds #shopping #shopwithme #dollartreemakeup #makeup #beauty @Dollar Tree ,"commenting to stay on dollar tree tok

Have you found the touch land hand sanitizer from dollar tree?

OMMGGG I LOVE UR VIDEOSS LOVE U GIRLL UR SO PRETTYY😭💕

Hii

I’m early😁😁😁😁 I also love your vids

Commenting to stay on dollar tree toc

Yeah im going right now and I got it

bro I guess my dollar tree is trash cuz they never have any of this","Post Title: Dollar tree beauty finds #dollartreefinds #dollartree #dollartreehaul #dollartreebeauty #makeupfinds #beautyfinds #shopping #shopwithme #dollartreemakeup #makeup #beauty @Dollar Tree 

Post Comments:
commenting to stay on dollar tree tok

Have you found the touch land hand sanitizer from dollar tree?

OMMGGG I LOVE UR VIDEOSS LOVE U GIRLL UR SO PRETTYY😭💕

Hii

I’m early😁😁😁😁 I also love your vids

Commenting to stay on dollar tree toc

Yeah im going right now and I got it

bro I guess my dollar tree is trash cuz they never have any of this"
7455094544628043054,1735774468,-1,#ad Discount tire ain’t getting my money😤😤 #stangry #TikTokShop #jumpstarter #tireinflator #flashsale #carsoftiktok #carcommunity #musthave #newyearsale #viral #fyp ,"get a tire at walmart. if you get the warranty it's like $20 and if you're tired gets a nail they'll fix it under warranty and then you only have to pay $20 again for a new warranty

Discount tire will repair your tire for free I work for one

Buy a new tire for the Kia or new front runners for Stangry🤷🏻‍♂️

Get that bread dawg🙏🙏🙏

Discount tire does air for free

You might have a loose bead take it to a tire shop or just anything to do with cars and have them reseat the tire I had the same problem and it’s fixed it

its 20 dollars to patch the tire my brother 😭🙏

Tax right off

i mean half the time the tire repair is free 😂

hi parker

Buddy I can sell you a tire for like $80 or so

Plug it…","Post Title: #ad Discount tire ain’t getting my money😤😤 #stangry #TikTokShop #jumpstarter #tireinflator #flashsale #carsoftiktok #carcommunity #musthave #newyearsale #viral #fyp 

Post Comments:
get a tire at walmart. if you get the warranty it's like $20 and if you're tired gets a nail they'll fix it under warranty and then you only have to pay $20 again for a new warranty

Discount tire will repair your tire for free I work for one

Buy a new tire for the Kia or new front runners for Stangry🤷🏻‍♂️

Get that bread dawg🙏🙏🙏

Discount tire does air for free

You might have a loose bead take it to a tire shop or just anything to do with cars and have them reseat the tire I had the same problem and it’s fixed it

its 20 dollars to patch the tire my brother 😭🙏

Tax right off

i mean half the time the tire repair is free 😂

hi parker

Buddy I can sell you a tire for like $80 or so

Plug it…"
7455387194639879455,1735842617,-1,Hello kitty hunting is back in action🤩  #rickseavlogs #hellokitty #hellokittylover #hellokittyhunting #hellokittyhunt #hk #sanrio  #tjmaxx #shopwithme  #hellokittygirl #marshalls #homegoodsfinds #homegoods #hellokittyblanket  #hellokittyhaul #hellokittycheck #sanriofinds #sanriocharacters #sanriolover #Shopping #shoppingaddict   #shoppingvlog #shoppingfinds ,"Yall see this very cutesy, very mindful. Doesnt take ALL OF THEM😭

you always find it 😭 I quit after checking 2 stores lmao

I love y'all's hello kitty's videos

How did you know they had 4 in stock? 😭

aw

😫😫😫yaaaa w bf

YouTube: Ricksea Vlogs

@Walmart GOT THAT STUFF🥵🥵🥵

Hi pretty! 🎀I’m ANNA from SAGAJEWELS marketing team. We're excited to potentially collaborate with you! 🌺 Send ""ANNA"" to our Instagram IG:SAGAJEWELS.OFFICIAL❤️

We would be delighted if you could serve as our upcoming ambassador! if you are interested Please send ""lmia12"" to our instagram IG ""SAGAJEWELS Official🥰🥰🥰🥰

🌿 Calling all creators! Send ""Tcollab"" to IG SAGAJEWELS.official to join our team

Taught you well","Post Title: Hello kitty hunting is back in action🤩  #rickseavlogs #hellokitty #hellokittylover #hellokittyhunting #hellokittyhunt #hk #sanrio  #tjmaxx #shopwithme  #hellokittygirl #marshalls #homegoodsfinds #homegoods #hellokittyblanket  #hellokittyhaul #hellokittycheck #sanriofinds #sanriocharacters #sanriolover #Shopping #shoppingaddict   #shoppingvlog #shoppingfinds 

Post Comments:
Yall see this very cutesy, very mindful. Doesnt take ALL OF THEM😭

you always find it 😭 I quit after checking 2 stores lmao

I love y'all's hello kitty's videos

How did you know they had 4 in stock? 😭

aw

😫😫😫yaaaa w bf

YouTube: Ricksea Vlogs

@Walmart GOT THAT STUFF🥵🥵🥵

Hi pretty! 🎀I’m ANNA from SAGAJEWELS marketing team. We're excited to potentially collaborate with you! 🌺 Send ""ANNA"" to our Instagram IG:SAGAJEWELS.OFFICIAL❤️

We would be delighted if you could serve as our upcoming ambassador! if you are interested Please send ""lmia12"" to our instagram IG ""SAGAJEWELS Official🥰🥰🥰🥰

🌿 Calling all creators! Send ""Tcollab"" to IG SAGAJEWELS.official to join our team

Taught you well"
7455120118297709855,1735780428,-1,Besties Valentine’s Day basket!🩷 @Dollar Tree has the cutest Valentine’s Day section!  #valentinesday2023#valentinesbasket #dollartreediy#bestiegoals#girlytok#dollartreefinds#dollartreehaul#comewithme #shopwithme#dollartreevalentinesday  #girlythings #bestfriendscheck ,❤️,"Post Title: Besties Valentine’s Day basket!🩷 @Dollar Tree has the cutest Valentine’s Day section!  #valentinesday2023#valentinesbasket #dollartreediy#bestiegoals#girlytok#dollartreefinds#dollartreehaul#comewithme #shopwithme#dollartreevalentinesday  #girlythings #bestfriendscheck 

Post Comments:
❤️"
7455413553609182494,1735848753,0,this shirt is really 4 shirts in 1 so girl math says it’s a steal 🤌 Blogilates for @target is already selling out so quickly and only around for just a few more weeks so get it before it’s gone forever!! Btw been loving your TikTok’s so muchhhh - I’m watching them all! ❤️,"Can you design for hijabi girls, we do really struggle to find some comfortable and cute clothing to wear to the gym. please 🙏

✨Pink is basically a neutral✨🩷

We need a restock! 💕

Ma'am I'm in SA and I'd die for this😭

Restock pls!!

wdym gone for ever all of my targets have been sold out!!

gone forever… you’re kidding me right??? we want more!! 🫶🩷

pleaseee make a pajama set at target with this fabric PLEASE

Waitttttttttttttt this line is not permanent for Target????? 😭😭😭

Cries in Australian 🇦🇺😭

When will there be restocks? I wanna buy more from the collection!

I got 2 marshmallow zip up hoodies and I’ve been livinggggg in them! So good!

Genius!

@cassey uhm, could you design comfy cute fits for ice skating please? 💜

what's the difference between the popflex and blogilates lines? 🥰

wait wait wait gone forever?!?!

Oh no they are not restocking ? 🫣

Me watching this while literally wearing the shirt 😂

I can’t wait to wear this! I got the same top and skirt for the gym. Thank you!! 💜🙏

Cries in Australian 🇦🇺😭😭😭

Literally wearing the black version of this right now! We love a versatile top!!💕 I love it so much

I hadn’t realized it’s limited edition! I waited bc I’m losing weight & didn’t want to get a size I’ll size out of

I want that in long sleeve for ballet 💕

Genius

Please make things for us that are 5 foot!! I love some of your pants but can’t wear them as they are 6inches too long :(

cries in Europe 🥺

Pleaseeee stock this on popflex! I’m in the uk and would love a tie tee without a centre front seam

I am in canada how can I buy this ??

not in pinkkkkk?💔💖🥺

All of my sizes in my store are sold out and I have no idea what size to order :(","Post Title: this shirt is really 4 shirts in 1 so girl math says it’s a steal 🤌 Blogilates for @target is already selling out so quickly and only around for just a few more weeks so get it before it’s gone forever!! Btw been loving your TikTok’s so muchhhh - I’m watching them all! ❤️

Post Comments:
Can you design for hijabi girls, we do really struggle to find some comfortable and cute clothing to wear to the gym. please 🙏

✨Pink is basically a neutral✨🩷

We need a restock! 💕

Ma'am I'm in SA and I'd die for this😭

Restock pls!!

wdym gone for ever all of my targets have been sold out!!

gone forever… you’re kidding me right??? we want more!! 🫶🩷

pleaseee make a pajama set at target with this fabric PLEASE

Waitttttttttttttt this line is not permanent for Target????? 😭😭😭

Cries in Australian 🇦🇺😭

When will there be restocks? I wanna buy more from the collection!

I got 2 marshmallow zip up hoodies and I’ve been livinggggg in them! So good!

Genius!

@cassey uhm, could you design comfy cute fits for ice skating please? 💜

what's the difference between the popflex and blogilates lines? 🥰

wait wait wait gone forever?!?!

Oh no they are not restocking ? 🫣

Me watching this while literally wearing the shirt 😂

I can’t wait to wear this! I got the same top and skirt for the gym. Thank you!! 💜🙏

Cries in Australian 🇦🇺😭😭😭

Literally wearing the black version of this right now! We love a versatile top!!💕 I love it so much

I hadn’t realized it’s limited edition! I waited bc I’m losing weight & didn’t want to get a size I’ll size out of

I want that in long sleeve for ballet 💕

Genius

Please make things for us that are 5 foot!! I love some of your pants but can’t wear them as they are 6inches too long :(

cries in Europe 🥺

Pleaseeee stock this on popflex! I’m in the uk and would love a tie tee without a centre front seam

I am in canada how can I buy this ??

not in pinkkkkk?💔💖🥺

All of my sizes in my store are sold out and I have no idea what size to order :("
7455114624220892458,1735779143,-1,these gifts are about to up my quality of life by 1000000% FOR REAL 💝 happy new year yall!! 🪩✨🥂 #haul #hauls #christmashaul #newyear #newyears #2025 #ninjacreami #lululemon ,"Hi

Dangggg ryan and the fam ATE

you’re welcome!!!🥰🥰🥰 🍨

NINJA CREAMI

second!!!🥰","Post Title: these gifts are about to up my quality of life by 1000000% FOR REAL 💝 happy new year yall!! 🪩✨🥂 #haul #hauls #christmashaul #newyear #newyears #2025 #ninjacreami #lululemon 

Post Comments:
Hi

Dangggg ryan and the fam ATE

you’re welcome!!!🥰🥰🥰 🍨

NINJA CREAMI

second!!!🥰"
7455441578857991466,1735855270,-1,"If you’re a member of Sam’s Club, here are some deals!! I bought way too much. #shopwithme #shopping #clearance ","Thanks sweetie. Going tomorrow. I appreciate the help

Honestly, the sale price should be the original price.

I don’t need a darn thing

Love Sam’s wish I had a Sam’s card

Nice!

Who has money after Christmas? 😢

❤️❤️❤️

😁😁😁

💜💜💜

Banned Sam's club

Looks like you enjoy candy!!! Planet Fitness has a great sale going also lol","Post Title: If you’re a member of Sam’s Club, here are some deals!! I bought way too much. #shopwithme #shopping #clearance 

Post Comments:
Thanks sweetie. Going tomorrow. I appreciate the help

Honestly, the sale price should be the original price.

I don’t need a darn thing

Love Sam’s wish I had a Sam’s card

Nice!

Who has money after Christmas? 😢

❤️❤️❤️

😁😁😁

💜💜💜

Banned Sam's club

Looks like you enjoy candy!!! Planet Fitness has a great sale going also lol"
7455256938545270047,1735812320,-1,#walmart #walmartfinds #shopwithme #fyp ,"So many cute finds at Walmart

What brand is that grey waffle button up. Link?

Can’t find link in your bio

So cute!!

What’s the link for the first button up?","Post Title: #walmart #walmartfinds #shopwithme #fyp 

Post Comments:
So many cute finds at Walmart

What brand is that grey waffle button up. Link?

Can’t find link in your bio

So cute!!

What’s the link for the first button up?"
7455710074288262442,1735917790,-1,this is your sign girlies!!! 🫶🏼💞🌸🦢🎀🧸 #fyp #ValentinesDay #shopping #shopwithme #pinterestgirly #pink #valentine #cutedecor #targetshopping #target #worldmarket #girly #girltherapy #SelfCare #cute #cozyvibes #Vlog ,"So many goodies😩💕

omggg everything is so cute 🥹🩷

love it 💝

love everything 😍

So cute

I love world market I feel like no one ever shops there and they have the cutest stuff 💕

WHA I thought you were from the uk?

Earlyyyyyy💗💗😭","Post Title: this is your sign girlies!!! 🫶🏼💞🌸🦢🎀🧸 #fyp #ValentinesDay #shopping #shopwithme #pinterestgirly #pink #valentine #cutedecor #targetshopping #target #worldmarket #girly #girltherapy #SelfCare #cute #cozyvibes #Vlog 

Post Comments:
So many goodies😩💕

omggg everything is so cute 🥹🩷

love it 💝

love everything 😍

So cute

I love world market I feel like no one ever shops there and they have the cutest stuff 💕

WHA I thought you were from the uk?

Earlyyyyyy💗💗😭"
7455541346422492446,1735878503,-1,Walmart…You’ve outdone yourself again 😍 #valloween #spookyvalentine #horror #alt #goth #darkaesthetic #shopwithme #ValentinesDay #vday #halloween #valentinesdaygifts #walmart #walmartfinds @Walmart ,"love this 🥰♥️I wish we have like these in the Philippines 🥺

The Beetlejuice and Lydia bouquet OMG 🖤🖤🖤

Love this ! 🖤

Nice scary 😱 stuff

Us aussies need a Walmart stat 🥰🥰🥰🥰

Yes

Yuh 😩🔥🔥🔥🔥🔥

OMG!!!","Post Title: Walmart…You’ve outdone yourself again 😍 #valloween #spookyvalentine #horror #alt #goth #darkaesthetic #shopwithme #ValentinesDay #vday #halloween #valentinesdaygifts #walmart #walmartfinds @Walmart 

Post Comments:
love this 🥰♥️I wish we have like these in the Philippines 🥺

The Beetlejuice and Lydia bouquet OMG 🖤🖤🖤

Love this ! 🖤

Nice scary 😱 stuff

Us aussies need a Walmart stat 🥰🥰🥰🥰

Yes

Yuh 😩🔥🔥🔥🔥🔥

OMG!!!"
